,Origin,Destination,Frequency,AC Type,Direct Flow,Transfer Flow
125,LICA,LIRA,2.0,Regional Turboprop,72.0,0.0
126,LICA,LIBD,1.0,Regional Turboprop,36.0,0.0
127,LICA,LICJ,1.0,Regional Turboprop,36.0,0.0
128,LICA,LIRQ,1.0,Regional Jet,56.0,0.0
129,LICA,LIRN,2.0,Regional Turboprop,72.0,0.0
130,LICA,LIBP,1.0,Regional Turboprop,36.0,0.0
131,LICA,LICC,2.0,Regional Turboprop,69.0,0.0
132,LICC,LIRA,3.0,Regional Turboprop,104.0,4.0
133,LICC,LIBD,2.0,Regional Turboprop,72.0,0.0
134,LICC,LICJ,2.0,Regional Turboprop,72.0,0.0
135,LICC,LIPE,1.0,Regional Jet,56.0,0.0
136,LICC,LIRN,1.0,Regional Turboprop,92.0,0.0
137,LICC,LIRN,1.0,Regional Jet,92.0,0.0
138,LICC,LIBP,1.0,Regional Jet,55.0,0.0
139,LICC,LICA,2.0,Regional Turboprop,69.0,0.0
140,LIMJ,LIRA,3.0,Regional Turboprop,106.0,2.0
141,LIMJ,LIBD,1.0,Regional Jet,56.0,0.0
142,LIMJ,LIPZ,3.0,Regional Turboprop,108.0,0.0
143,LIMJ,LIRQ,3.0,Regional Turboprop,108.0,0.0
144,LIMJ,LIPE,3.0,Regional Turboprop,108.0,0.0
145,LIMJ,LIPY,1.0,Regional Jet,56.0,0.0
146,LIMJ,LIRN,1.0,Regional Jet,56.0,0.0
147,LIMJ,LIBP,1.0,Regional Jet,55.0,0.0
148,LIMJ,LIPX,3.0,Regional Turboprop,108.0,0.0
149,LIMJ,LIPQ,2.0,Regional Turboprop,72.0,0.0
150,LIPQ,LIRA,3.0,Regional Turboprop,106.0,2.0
151,LIPQ,LIBD,1.0,Regional Jet,56.0,0.0
152,LIPQ,LIPZ,4.0,Regional Turboprop,144.0,0.0
153,LIPQ,LIRQ,3.0,Regional Turboprop,108.0,0.0
154,LIPQ,LIPE,3.0,Regional Turboprop,108.0,0.0
155,LIPQ,LIPY,2.0,Regional Turboprop,72.0,0.0
156,LIPQ,LIRN,1.0,Regional Jet,56.0,0.0
157,LIPQ,LIBP,1.0,Regional Jet,56.0,0.0
158,LIPQ,LIPX,3.0,Regional Turboprop,108.0,0.0
159,LIPQ,LIMJ,2.0,Regional Turboprop,72.0,0.0
