Iteration Number,Model Runtime,ColGen Runtime,Columns Added
0,0.01258397102355957,25.253393173217773,"[(135, 93), (108, 101), (76, 19), (153, 138), (66, 25), (112, 81), (153, 145), (71, 24), (547, 468), (435, 356), (113, 83), (75, 23), (579, 545), (425, 373), (660, 649), (58, 16), (666, 629), (65, 18), (266, 101), (563, 442), (277, 162), (272, 145), (272, 138), (275, 138), (426, 372), (275, 145), (110, 64), (547, 394), (280, 281), (258, 101), (561, 444), (397, 286), (193, 123), (317, 315), (206, 240), (117, 75), (317, 240), (437, 354), (189, 186), (183, 186), (437, 429), (266, 258), (228, 235), (446, 381), (323, 319), (272, 275), (115, 71), (644, 563), (266, 108)]"
1,0.012205839157104492,25.0903160572052,"[(429, 354), (116, 72), (258, 266), (212, 218), (552, 557)]"
2,0.011394739151000977,25.342146158218384,"[(472, 397)]"
3,0.010728120803833008,25.16473698616028,[]
